transaction_id,amount,merchant_category,transaction_hour,day_of_week,location_distance_km,is_international,card_present,velocity_last_1h,avg_amount_30d,is_fraud
TXN-000000,90.67657614369924,restaurant,18,4,15.975915478798372,0,1,0,30.51262873617405,0
TXN-000001,17.302947770752386,electronics,16,2,4.323942621173415,0,1,1,10.088420585450496,0
TXN-000002,32.10999928762017,electronics,14,6,1.5402280817784648,0,1,1,62.831103800211906,0
TXN-000003,29.821015001078802,atm_withdrawal,16,0,1.9253205351189155,0,1,0,25.936537774704348,0
TXN-000004,45.529443500593786,electronics,19,5,4.6910485163467115,0,1,2,30.89874695709794,0
TXN-000005,25.94069784752697,healthcare,18,5,2.170466825385301,0,1,0,108.45661839046174,0
TXN-000006,125.98792890390389,grocery,22,6,4.888669632849198,0,1,2,74.97844533283663,0
TXN-000007,12.991129791157823,restaurant,20,0,6.732808356917346,0,1,0,16.62818624761627,0
TXN-000008,34.28493576388285,grocery,12,4,9.338390229847443,0,1,1,6.390484488852324,0
TXN-000009,50.79969957530077,online_retail,11,4,2.3937427706377443,0,1,0,17.59028793698381,0
TXN-000010,48.98411379841167,online_retail,16,1,6.827721042887525,0,1,0,39.55180138541285,0
TXN-000011,86.69148886618645,travel,15,3,4.05940087769916,0,1,2,50.606909608776284,0
TXN-000012,17.826438697344773,healthcare,9,1,9.987400941408568,0,0,0,15.695123834183567,0
TXN-000013,60.40693667867968,restaurant,8,1,0.8269208912389416,0,1,0,33.40820108237826,0
TXN-000014,9.456428148920365,healthcare,16,0,2.70616100807401,0,1,1,50.772440616707875,0
TXN-000015,48.9014339674461,travel,12,1,8.64036767081822,0,1,1,24.75364776741226,0
TXN-000016,24.685624739268395,entertainment,21,5,0.05255179844609577,0,1,1,81.65577811213585,0
TXN-000017,100.0,electronics,1,5,120.61809056568,1,0,3,13.750517235373051,1
TXN-000018,192.65116918871823,electronics,16,0,3.531292718148889,0,1,1,72.85726493262541,0
TXN-000019,34.30772729431449,electronics,10,2,1.1480533788317886,0,1,1,50.85183204567154,0
TXN-000020,1076.7269842329945,online_retail,1,6,286.93577832343067,0,0,3,82.22482435192683,1
TXN-000021,106.2369620209381,healthcare,6,2,2.5673258300390494,0,1,1,34.68110884046426,0
TXN-000022,151.33935196998613,utilities,10,5,2.77877803843071,1,1,1,165.92850320387367,0
TXN-000023,56.26424175372855,online_retail,14,0,2.1983368522026394,0,1,1,9.185137584147608,0
TXN-000024,47.2040151162316,atm_withdrawal,17,1,0.0026828249958508014,0,1,2,9.48134741438869,0
TXN-000025,1651.7373631259786,travel,2,6,3531.9304895798386,1,1,6,403.7711463668615,1
TXN-000026,26.15054177375695,entertainment,12,2,2.756213432612,0,1,1,57.59371008512351,0
TXN-000027,144.2680894036642,atm_withdrawal,10,6,7.1410905691515385,0,1,0,61.891281658107815,0
TXN-000028,48.57791591811648,atm_withdrawal,14,3,1.1953820685713716,0,1,2,32.29158768603983,0
TXN-000029,2.923237559161349,atm_withdrawal,12,6,0.34812551494945887,0,0,3,14.072907397422702,0
TXN-000030,27.367301983122644,electronics,21,4,1.639319642927145,0,1,1,55.6246810321079,0
TXN-000031,5.621426521756141,gas_station,15,3,0.9848362978144009,0,0,0,16.446423164353366,0
TXN-000032,48.84009924477382,utilities,7,3,17.533715589948184,0,1,0,7.95911137129307,0
TXN-000033,77.03048023178366,healthcare,13,5,2.6772628431925045,0,1,4,39.25507287274005,0
TXN-000034,15.256469133677442,entertainment,21,5,0.051640569736312564,0,1,1,222.75893058151024,0
TXN-000035,53.94642210611483,grocery,10,2,7.460057057965724,0,1,2,39.106479323851815,0
TXN-000036,12.273803476863014,electronics,15,5,0.3072052063061017,0,1,1,5.0,0
TXN-000037,46.59790350425641,grocery,17,0,3.7964999145682783,0,1,4,14.195366472292678,0
TXN-000038,181.41600394948645,entertainment,17,3,9.331180586686376,0,1,0,9.974965921114617,0
TXN-000039,46.47720136995612,electronics,18,2,5.5185579095173445,0,1,2,21.690524141845945,0
TXN-000040,88.88319517749369,gas_station,7,2,1.3295522272485536,0,1,0,23.400265261038015,0
TXN-000041,102.40876377882289,entertainment,19,3,2.4845403509854256,0,1,1,36.11072990050085,0
TXN-000042,79.32665513474899,travel,6,1,2.3397082262466236,0,1,1,26.92886219670779,0
TXN-000043,4.493056958221403,utilities,6,0,0.34050411979017514,0,1,1,29.230990401776392,0
TXN-000044,18.70243898071932,online_retail,9,0,4.283850178075051,0,1,0,54.74599800662532,0
TXN-000045,63.47161434864627,grocery,6,2,7.742579053687537,1,1,2,26.106871469423005,0
TXN-000046,8.346970498393434,online_retail,16,2,7.8175932786462425,0,1,4,14.020892358120788,0
TXN-000047,260.83669860335675,gas_station,19,4,11.710411356476092,0,1,0,24.340953844885966,0
TXN-000048,10.214412195626256,online_retail,8,6,2.4656754180728386,0,1,4,37.51187359306133,0
TXN-000049,47.911619807223225,entertainment,20,4,0.6194460218663148,0,1,1,23.432335963435065,0
TXN-000050,82.37055288885762,entertainment,14,6,1.4735576104012018,0,1,1,5.0,0
TXN-000051,68.3386471190823,grocery,17,6,4.03227989268785,0,1,0,48.92518783868238,0
TXN-000052,16.822243994663875,utilities,12,2,7.091945166392576,0,1,3,28.406845495508257,0
TXN-000053,124.02767268014306,gas_station,11,4,3.8426220864922693,0,1,0,5.831505709425256,0
TXN-000054,9.684170087053156,utilities,19,5,4.443087873131229,0,1,3,12.676250570661653,0
TXN-000055,59.93252707568287,entertainment,20,0,21.13728342971355,0,0,3,44.697556137381845,0
TXN-000056,30.814994550244624,utilities,9,3,6.784262658814264,0,0,2,31.34671121138365,0
TXN-000057,3.2078609269177236,grocery,9,5,6.1447330326293645,0,1,0,45.50987759814791,0
TXN-000058,20.346042865267847,electronics,18,5,2.0661344137218847,0,1,1,12.434144933987762,0
TXN-000059,52.97525528982085,utilities,20,0,0.01120808905050228,0,1,0,16.47980610043399,0
TXN-000060,61.12771600787761,gas_station,10,4,10.553178423408266,0,1,1,45.9667792880897,0
TXN-000061,27.59250258285762,atm_withdrawal,22,3,7.26629287879568,1,1,1,7.5611769171333165,0
TXN-000062,13.541079565061155,gas_station,12,4,0.27857838239283167,1,0,0,9.664996992341374,0
TXN-000063,23.59339792843485,entertainment,21,2,10.866286401226953,0,1,0,32.42027307964513,0
TXN-000064,207.72723309293053,electronics,22,5,15.138897072576942,0,1,3,8.464488437438993,0
TXN-000065,11.360200768482477,travel,7,6,9.215876901391173,0,1,3,27.993389704138124,0
TXN-000066,37.109581367030664,utilities,21,6,8.997590047475263,0,1,1,70.36562416434668,0
TXN-000067,896.1366939901902,atm_withdrawal,3,0,1753.0255338593088,0,1,5,122.20506300833898,1
TXN-000068,78.61678258431448,entertainment,22,3,8.28230687437449,0,1,2,27.94242992666987,0
TXN-000069,8.826901384198692,travel,15,5,2.1947967813257687,1,1,2,5.846996909782869,0
TXN-000070,14.289354760039549,healthcare,16,1,5.125305063839024,0,1,2,13.364157555974797,0
TXN-000071,34.4294811283517,gas_station,13,1,13.435325102374229,0,1,1,36.988477524255046,0
TXN-000072,68.4229286965722,utilities,7,0,1.848852297178941,0,1,0,40.177001792633106,0
TXN-000073,17.077386828662668,electronics,14,1,7.229109189985269,0,0,0,10.708998642482491,0
TXN-000074,43.67691620887975,utilities,10,4,10.887311807206085,0,1,3,7.011335876111915,0
TXN-000075,27.235323982435673,healthcare,20,1,1.3461659743139311,0,1,1,104.41212836519901,0
TXN-000076,29.779435439731532,online_retail,12,2,0.3855872315631359,0,1,1,27.02743239252532,0
TXN-000077,11.175003370591593,entertainment,14,6,1.207615939281578,0,1,0,90.33327818427233,0
TXN-000078,50.351106941481,healthcare,21,1,2.7094135338432803,0,1,1,67.21612959439618,0
TXN-000079,33.60517724895726,restaurant,12,1,5.662834563543814,0,1,3,7.40190964766703,0
TXN-000080,52.040467432660805,atm_withdrawal,10,6,2.2400292908743173,0,1,0,36.592325446274124,0
TXN-000081,53.38497488965205,online_retail,9,4,0.8999595574935614,0,1,0,22.51783058180389,0
TXN-000082,28.967373422610663,entertainment,19,4,30.117252604019903,0,1,0,12.310381536110278,0
TXN-000083,33.45949367451918,travel,15,4,2.7249603186403366,0,1,3,17.777981133401216,0
TXN-000084,110.5580325427061,utilities,14,3,0.43204946949869866,0,1,0,26.97393918154187,0
TXN-000085,48.05400872135511,entertainment,21,3,3.3907497362987353,0,0,1,55.72758416962731,0
TXN-000086,55.476442809743304,gas_station,21,0,2.359436100638114,0,1,1,65.67652231576146,0
TXN-000087,4.6012008491592695,restaurant,18,5,1.3108223706533175,0,1,2,65.32947368815532,0
TXN-000088,10.82487982156528,entertainment,13,0,1.9212004649049792,0,1,1,28.494829425790897,0
TXN-000089,113.20808445049512,healthcare,20,5,1.3493843993110621,0,1,0,32.697672733901776,0
TXN-000090,15.717936762440937,travel,11,0,2.2148743650110223,0,1,1,114.35297088399095,0
